Model,Dice,IOU,Precision,Recall,F1
version1_both,0.661780334,0.583742265,0.841375398,0.687788708,0.756869057
version2_pixelwise,0.657977583,0.57336875,0.825825099,0.689536734,0.751552176
both_pixelwise,0.658051717,0.572790918,0.8040767,0.708033762,0.753005108
version1_kld_pixelwise,0.639376352,0.558998821,0.815526211,0.674704399,0.73846171
ce_pixelwise,0.674970864,0.592990468,0.806780737,0.71251483,0.756723382
kld_pixelwise,0.669422396,0.589182069,0.803942924,0.714237136,0.756439775
version2,0.649369876,0.566206216,0.822592804,0.689692634,0.750303062
unet,0.648118034,0.56787337,0.816586436,0.686263959,0.745774619
version1_both_pixelwise,0.642086311,0.564023887,0.784813019,0.693138382,0.736132495
version1_ce,0.653775722,0.57243061,0.812351408,0.695003055,0.749109415
kd_pixelwise,0.632461804,0.553760604,0.795961874,0.684774988,0.736193981
version1_both_batchmean,0.644388392,0.563098636,0.794249797,0.693392957,0.740402511
version1_kl_batchmean,0.649685844,0.567670046,0.793065942,0.697574168,0.74226141
curricullum_pixelwise,0.638890372,0.555162699,0.783715346,0.704705294,0.742113269
version1_ce_batchmean,0.655054502,0.57302218,0.804670013,0.693724432,0.745089852
version2_batchmean,0.65250535,0.570470491,0.825794841,0.680542496,0.746165508
version2_batchmean_1,0.641079269,0.560241337,0.828559787,0.668199738,0.739789423
version1_kl,0.626454506,0.549503068,0.796324579,0.682694119,0.735144333
version1_ce_pixelwise,0.656258258,0.574007956,0.80669862,0.702686557,0.751108841
